m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Glob+Loc,Econ,stan_models/master_model.stan,8172.876763142878,-8.59841641469636,4.142865139851513
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Econ,Glob+Loc,stan_models/master_model.stan,9346.538376458688,-2.8868527925412,3.1075506907624453
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Glob,Econ+Loc,stan_models/master_model.stan,9207.550605866592,-8.072244861482197,4.310137089061077
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,,Econ+Glob+Loc,stan_models/master_model.stan,385.74231909634545,-0.8423050214208541,1.2721135483695967
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Econ+Glob+Loc,,stan_models/master_model.stan,5648.683252096875,-2.9936097005141313,2.018515781797795
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Econ+Glob,Loc,stan_models/master_model.stan,4113.550815619528,-2.3537134390796357,2.211503719854774
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Econ+Loc,Glob,stan_models/master_model.stan,6582.4919509063475,-2.7759299968869726,2.9566012572996803
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Econ,Glob+Loc,stan_models/master_model.stan,2055.144200764131,-2.148577656665065,3.028866809709438
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Glob,Econ+Loc,stan_models/master_model.stan,6771.467347371858,-0.6793012358461663,1.183857058907313
Glob+Loc,0,1,1,dinst1,hk,Econ,stan_models/master_model.stan,5298.260441916529,Loc,Econ+Glob,stan_models/master_model.stan,553.10086767748,-1.1440155640969074,1.3951453741056208
